domicilio,votantes
jeronimo-luis-de-cabrera 256 ,140
chacabuco 201 ,67
paso-de-los-andes 501 ,43
paso-de-los-andes 0 ,43
jeronimo-luis-de-cabrera 0 ,29
barcelona 2084 ,25
duarte-quiros 434 ,20
san-clemente 1614 ,20
elpidio-gonzalez 1500 ,19
chacabuco 0 ,19
av-goycoechea 1377 ,18
jose-luis-de-tejeda 1120 ,18
elpidio-gonzalez 949 ,18
duarte-quiros 474 ,18
jeronimo-luis-de-cabrera  ,17
pje-alberti 251 ,17
jeronimo-luis-de-cabrera 1050 ,16
jeronimo-luis-de-cabrera 835 ,16
velez-sarsfield 1152 ,15
duarte-quiros 321 ,15
san-clemente 1900 ,14
av-goycoechea 250 ,14
elpidio-gonzalez 805 ,14
jeronimo-luis-de-cabrera 940 ,14
elpidio-gonzalez 0 ,13
rio-de-janeiro 659 ,13
av-argentina 0 ,13
los-andes 1184 ,13
maipu 42 ,13
av-bodereau 1735 ,13
san-juan 1944 ,12
chubut 1207 ,12
rio-de-janeiro 615 ,12
jose-luis-de-tejeda 1100 ,12
castelli 217 ,12
av-derqui 1001 ,12
bella-vista 917 ,11
sarmiento 1155 ,11
juan-domingo-peron 241 ,11
nueva-zelandia 627 ,11
buenos-aires 585 ,11
guemes 850 ,11
pje-del-carmen 1249 ,11
san-luis 1959 ,11
av-goycoechea 965 ,11
alberti 777 ,11
nueva-caledonia 1685 ,11
jujuy 360 ,11
libertad 699 ,11
castelli 260 ,11
jeronimo-luis-de-cabrera 409 ,11
balcarce 241 ,10
nueva-zelandia 722 ,10
ricardo-balbin 551 ,10
leandro-n-alem 269 ,10
nueva-guinea 330 ,10
balcarce 218 ,10
barcelona 1795 ,10
nueva-zelandia 438 ,10
mendoza 1219 ,10
acapulco 477 ,10
rivera-indarte 593 ,10
tablada 330 ,10
chacabuco  ,10
nueva-zelandia 658 ,10
maipu 68 ,10
pto-argentino 1838 ,10
av-argentina  ,10
nueva-zelandia 892 ,10
pje-parana 452 ,10
barcelona 2062 ,10
bella-vista 551 ,10
san-javier 351 ,10
guayaquil 1707 ,10
guadalupe 476 ,10
2-de-abril 133 ,10
alberti 778 ,10
libertad 480 ,10
guemes 625 ,10
av-bodereau 1996 ,9
